activity_name,start,end,actual_end,overlapping_activities,bp_id,overlapping_bps,classification,Multi Class Classification,Single Class Classification,probability
CreatePurchaseRequest,96,1367,1322,[],399,[],,,,
CreateCallForTender,1367,1940,1887,[],399,[],,,,
CreatePurchaseRequest,1940,2818,2793,[],400,[],,,,
CreateRfq,2818,6289,15871,[],399,[],,,,
CreateCallForTender,5563,6178,5965,[],400,[],,,,
CreateRfq,6731,19307,19296,[],400,[],,,,
CreatePurchaseRequest,9008,10007,9997,[],401,[],,,,
CreateCallForTender,14517,15218,15058,[],401,[],,,,
CreatePurchaseRequest,16404,17321,17269,[],402,[],,,,
CreateRfq,17321,25589,25583,[],401,[],,,,
CreateCallForTender,19623,20873,20873,[],402,[],,,,
BidSelection,19789,20510,20497,[],400,[],,,,
CreatePurchaseRequest,21633,22520,22493,[],403,[],,,,
CreatePurchaseOrder,22520,29053,29042,[],400,[],,,,
CreateRfq,22622,36484,36475,[],402,[],,,,
CreateCallForTender,25111,26277,26269,[],403,[],,,,
BidSelection,25298,25986,25942,[],399,[],,,,
BidSelection,28623,28971,28958,[],401,[],,,,
CreateRfq,29990,50565,50544,[],403,[],,,,
CreatePurchaseRequest,30082,32055,31871,[],404,[],,,,
CreatePurchaseOrder,32055,40880,40869,[],401,[],,,,
CreatePurchaseOrder,32409,56433,56409,[],399,[],,,,
ReceiveGoods,34532,36079,35506,[],400,[],,,,
CreateCallForTender,36079,37673,37650,[],404,[],,,,
SubmitPayment,41410,46698,46539,[],400,[],,,,
CreatePurchaseRequest,41505,42994,42871,[],405,[],,,,
ReceiveGoods,43893,45854,45841,[],401,[],,,,
CreateRfq,45391,62086,62075,[],404,[],,,,
BidSelection,47010,49355,49303,[],402,[],,,,
CreateCallForTender,48313,49236,49156,[],405,[],,,,
ReceiveGoods,49355,50577,50571,[],399,[],,,,
SubmitPayment,50490,55585,55520,[],401,[],,,,
CreateRfq,52626,64751,64737,[],405,[],,,,
BidSelection,57276,58027,57762,[],403,[],,,,
SubmitPayment,57406,62004,61818,[],399,[],,,,
CreateCallForTender,62595,63034,63000,[],406,[],,,,
CreatePurchaseOrder,63034,69406,69362,[],403,[],,,,
CreatePurchaseRequest,63096,64212,64074,[],407,[],,,,
BidSelection,64954,65571,65514,[],404,[],,,,
CreateRfq,66414,84578,84553,[],406,[],,,,
CreateCallForTender,68156,68734,68715,[],407,[],,,,
CreateRfq,68734,91405,91394,[],407,[],,,,
BidSelection,69670,73905,73887,[],405,[],,,,
ReceiveGoods,70072,73940,73905,[],403,[],,,,
CreatePurchaseRequest,71983,75222,74897,[],408,[],,,,
CreatePurchaseOrder,72756,80771,80769,[],404,[],,,,
SubmitPayment,78988,83333,83264,[],403,[],,,,
CreateCallForTender,83333,83931,83750,[],408,[],,,,
ReceiveGoods,83931,85532,85493,[],404,[],,,,
BidSelection,86701,86935,86895,[],406,[],,,,
CreateRfq,86935,98668,98654,[],408,[],,,,
SubmitPayment,88736,91324,91313,[],404,[],,,,
CreatePurchaseOrder,92345,96051,96040,[],406,[],,,,
BidSelection,96567,96807,96757,[],407,[],,,,
ReceiveGoods,96807,98582,98400,[],406,[],,,,
CreatePurchaseOrder,97105,104709,104695,[],407,[],,,,
BidSelection,99862,100423,100384,[],408,[],,,,
ReceiveGoods,100423,102200,102147,[],407,[],,,,
SubmitPayment,100724,104625,104454,[],406,[],,,,
CreatePurchaseOrder,101210,105998,105925,[],408,[],,,,
SubmitPayment,106266,108727,108703,[],407,[],,,,
ReceiveGoods,108727,109758,109696,[],408,[],,,,
SubmitPayment,109758,112188,112188,[],408,[],,,,
